ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K03635,MOCS2B,moaE; molybdopterin synthase catalytic subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing;Metabolism,Metabolism of cofactors and vitamins,Other
K03636,moaD,cysO; sulfur-carrier protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03637,moaC,CNX3; cyclic pyranopterin monophosphate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing;Metabolism,Metabolism of cofactors and vitamins,Other
K03638,moaB,molybdopterin adenylyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing;Metabolism,Metabolism of cofactors and vitamins,Other
K03639,moaA,"CNX2; GTP 3',8-cyclase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing;Metabolism,Metabolism of cofactors and vitamins,Other
K03640,pal,peptidoglycan-associated lipoprotein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03641,tolB,TolB protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03642,rlpA,peptidoglycan lytic transglycosylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03643,lptE,rlpB; LPS-assembly lipoprotein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03644,lipA,"LIAS, LIP1, LIP5; lipoyl synthase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03645,seqA,negative modulator of initiation of replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03646,tolA,colicin import membrane protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03647,nrdI,protein involved in ribonucleotide reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03648,UNG,UDG; uracil-DNA glycosylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03649,mug,double-stranded uracil-DNA glycosylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03650,mnmE,"trmE, MSS1; tRNA modification GTPase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03651,cpdA,"3',5'-cyclic-AMP phosphodiesterase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Nucleotide metabolism,Other
K03652,MPG,DNA-3-methyladenine glycosylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03653,K03653,N-glycosylase/DNA lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03654,recQ,ATP-dependent DNA helicase RecQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03655,recG,ATP-dependent DNA helicase RecG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03656,rep,ATP-dependent DNA helicase Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
