ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K00658,DLST/sucB,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase),2.3.1.61,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00672,ftr,formylmethanofuran--tetrahydromethanopterin N-formyltransferase,2.3.1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00814,GPT/ALT,alanine transaminase,2.6.1.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Carbon fixation
K00830,AGXT,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminas,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,other,,hetero,Cellular Processes;Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00831,serC/PSAT1,phosphoserine aminotransferase,2.6.1.52,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism;Metabolism of cofactors and vitamins,Methane metabolism
K00844,HK,hexokinase,2.7.1.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism;Organismal Systems,Biosynthesis of other secondary metabolites;Carbohydrate metabolism;Glycan biosynthesis and metabolism,Other
K00845,glk,glucokinase,2.7.1.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Biosynthesis of other secondary metabolites;Carbohydrate metabolism;Glycan biosynthesis and metabolism,Other
K00850,pfkA/PFK,6-phosphofructokinase 1,2.7.1.11,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Genetic Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00851,idnK/gntK,gluconokinase,2.7.1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00855,PRK/prkB,phosphoribulokinase,2.7.1.19,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|cfp,cbb_1|cbb_2,auto,Metabolism,Energy metabolism,Carbon fixation
K00863,DAK/TKFC,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing),2.7.1.28,2.7.1.29,4.6.1.15,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism;Lipid metabolism,Methane metabolism
K00873,PK/pyk,pyruvate kinase,2.7.1.40,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism,Other
K00874,kdgK,2-dehydro-3-deoxygluconokinase,2.7.1.45,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00886,ppgK,polyphosphate glucokinase,2.7.1.63,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Glycan biosynthesis and metabolism,Other
K00918,pfkC,ADP-dependent phosphofructokinase/glucokinase,2.7.1.146,2.7.1.147,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00925,ackA,acetate kinase,2.7.2.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of other amino acids,Carbon fixation;Methane metabolism
K00926,arcC,carbamate kinase,2.7.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism;Nucleotide metabolism,Nitrogen metabolism
K00927,PGK/pgk,phosphoglycerate kinase,2.7.2.3,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00948,PRPS/prsA,ribose-phosphate pyrophosphokinase,2.7.6.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Nucleotide metabolism,Other
K01006,ppdK,pyruvate/orthophosphate dikinase,2.7.9.1,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01007,pps/ppsA,pyruvate/water dikinase,2.7.9.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,dchb|rtca,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01053,gnl/RGN,gluconolactonase,3.1.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Xenobiotics biodegradation and metabolism,Other
K01057,PGLS/pgl/devB,6-phosphogluconolactonase,3.1.1.31,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01070,frmB/ESD/fghA,S-formylglutathione hydrolase,3.1.2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K01079,serB/PSPH,phosphoserine phosphatase,3.1.3.3,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Methane metabolism
K01086,fbp-SEBP,"fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase",3.1.3.11,3.1.3.37,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01100,E3.1.3.37,sedoheptulose-bisphosphatase,3.1.3.37,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb,cbb_2,auto,Metabolism,Energy metabolism,Carbon fixation
K01455,E3.5.1.49,formamidase,3.5.1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of other amino acids,Nitrogen metabolism
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase,1.5.1.5,3.5.4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3,auto,Metabolism,Energy metabolism;Metabolism of cofactors and vitamins,Carbon fixation
K01499,mch,methenyltetrahydromethanopterin cyclohydrolase,3.5.4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K01500,fchA,methenyltetrahydrofolate cyclohydrolase,3.5.4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3,auto,Metabolism,Energy metabolism;Metabolism of cofactors and vitamins,Carbon fixation
K01595,ppc,phosphoenolpyruvate carboxylase,4.1.1.31,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01601,rbcL/cbbL,ribulose-bisphosphate carboxylase large chain,4.1.1.39,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,cbb|cfp,cbb_1|cbb_2,auto,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01602,rbcS/cbbS,ribulose-bisphosphate carboxylase small chain,4.1.1.39,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,cbb|cfp,cbb_1|cbb_2,auto,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01610,pckA,phosphoenolpyruvate carboxykinase (ATP),4.1.1.49,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01616,kgd,multifunctional 2-oxoglutarate metabolism enzyme,2.2.1.5,4.1.1.71,1.2.4.2,2.3.1.61,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase",4.1.2.13,3.1.3.11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K01623,ALDO,fructose-bisphosphate aldolase/class I,4.1.2.13,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01624,FBA/fbaA,fructose-bisphosphate aldolase/class II,4.1.2.13,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01625,eda,2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase,4.1.2.1,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01637,ICL/aceA,isocitrate/methylisocitrate lyase,4.1.3.1,4.1.3.30,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01638,aceB/glcB,malate synthase,2.3.3.9,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01647,CS/gltA,citrate synthase,2.3.3.1,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01659,prpC,2-methylcitrate synthase,2.3.3.5,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01676,E4.2.1.2A/fumA/fumB,fumarate hydratase/class I,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01677,E4.2.1.2AA/fumA,fumarate hydratase subunit alpha,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01678,E4.2.1.2AB/fumB,fumarate hydratase subunit beta,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01679,E4.2.1.2B/fumC/FH,fumarate hydratase/class II,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,3hp|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01681,ACO,aconitate hydratase,4.2.1.3,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01682,acnB,aconitate hydratase 2 / 2-methylisocitrate dehydratase,4.2.1.3,4.2.1.99,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01689,ENO1_2_3/eno,enolase 1/2/3,4.2.1.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,,hetero,Cellular Processes;Environmental Information Processing;Genetic Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K01690,edd,phosphogluconate dehydratase,4.2.1.12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01715,crt,enoyl-CoA hydratase,4.2.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01720,prpD,2-methylcitrate dehydratase,4.2.1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01738,cysK,cysteine synthase,2.5.1.47,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Sulfur metabolism
K01752,E4.3.1.17/sdaA/sdaB/tdcG,L-serine dehydratase,4.3.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism,Other
K01754,E4.3.1.19/ilvA/tdcB,threonine dehydratase,4.3.1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism,Other
K01782,fadJ,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,1.1.1.35,4.2.1.17,5.1.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Lipid metabolism;Metabolism of other amino acids;Metabolism of terpenoids and polyketides;Xenobiotics biodegradation and metabolism,Other
K01783,rpe/RPE,ribulose-phosphate 3-epimerase,5.1.3.1,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01803,TPI/tpiA,triosephosphate isomerase (TIM),5.3.1.1,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01807,rpiA,ribose 5-phosphate isomerase A,5.3.1.6,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01808,rpiB,ribose 5-phosphate isomerase B,5.3.1.6,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01810,GPI/pgi,glucose-6-phosphate isomerase,5.3.1.9,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Glycan biosynthesis and metabolism,Other
K01825,fadB,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase,1.1.1.35,4.2.1.17,5.1.2.3,5.3.3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Lipid metabolism;Metabolism of other amino acids;Metabolism of terpenoids and polyketides;Xenobiotics biodegradation and metabolism,Other
K01834,PGAM/gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Methane metabolism
K01846,glmS/mutS/mamA,methylaspartate mutase sigma subunit,5.4.99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01847,MUT,methylmalonyl-CoA mutase,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,3hp|other,,auto|hetero,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01848,E5.4.99.2A/mcmA1,methylmalonyl-CoA mutase/N-terminal domain,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,3hp|hphb|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01849,E5.4.99.2B/mcmA2,methylmalonyl-CoA mutase/C-terminal domain,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,3hp|hphb|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01895,ACSS1_2/acs,acetyl-CoA synthetase,6.2.1.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K01899,LSC1,succinyl-CoA synthetase alpha subunit,6.2.1.4,6.2.1.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01900,LSC2,succinyl-CoA synthetase beta subunit,6.2.1.4,6.2.1.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01902,sucD,succinyl-CoA synthetase alpha subunit,6.2.1.5,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01903,sucC,succinyl-CoA synthetase beta subunit,6.2.1.5,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01913,AAE7/ACN1,acetate/butyrate---CoA ligase,6.2.1.1,6.2.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K01938,fhs,formate--tetrahydrofolate ligase,6.3.4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3,auto,Metabolism,Energy metabolism;Metabolism of cofactors and vitamins,Carbon fixation
K01948,CPS1,carbamoyl-phosphate synthase (ammonia),6.3.4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Nitrogen metabolism
K01958,PC/pyc,pyruvate carboxylase,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01959,pycA,pyruvate carboxylase subunit A,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01960,pycB,pyruvate carboxylase subunit B,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01961,accC,acetyl-CoA carboxylase/biotin carboxylase subunit,6.4.1.2,6.3.4.14,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism;Lipid metabolism,Carbon fixation
K01962,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,6.4.1.2,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism;Lipid metabolism,Carbon fixation
K01963,accD,acetyl-CoA carboxylase carboxyl transferase subunit beta,6.4.1.2,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism;Lipid metabolism,Carbon fixation
K01964,K01964,acetyl-CoA/propionyl-CoA carboxylase,6.4.1.2,6.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,hphb|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K01965,PCCA/pccA,propionyl-CoA carboxylase alpha subunit,6.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism,Other
K01966,PCCB/pccB,propionyl-CoA carboxylase beta subunit,6.4.1.3,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism,Other
K02160,accB/bccP,acetyl-CoA carboxylase biotin carboxyl carrier protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,,auto,Metabolism,Carbohydrate metabolism;Energy metabolism;Lipid metabolism,Carbon fixation
K02203,thrH,phosphoserine / homoserine phosphotransferase,3.1.3.3,2.7.1.39,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Methane metabolism
K02437,gcvH/GCSH,glycine cleavage system H protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K02446,glpX,"fructose-1,6-bisphosphatase II",3.1.3.11,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K03388,hdrA2,heterodisulfide reductase subunit A2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K03389,hdrB2,heterodisulfide reductase subunit B2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K03390,hdrC2,heterodisulfide reductase subunit C2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K03396,gfa,S-(hydroxymethyl)glutathione synthase,4.4.1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K03417,prpB,methylisocitrate lyase,4.1.3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K03737,por/nifJ,pyruvate-ferredoxin/flavodoxin oxidoreductase,1.2.7.1,1.2.7.-,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K03738,aor,aldehyde:ferredoxin oxidoreductase,1.2.7.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K03781,katE/CAT/catB/srpA,catalase,1.11.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,,hetero,Cellular Processes;Environmental Information Processing;Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism,Other
K03841,FBP/fbp,"fructose-1,6-bisphosphatase I",3.1.3.11,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K04480,mtaB,methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase,2.1.1.90,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K04835,mal,methylaspartate ammonia-lyase,4.3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K05298,GAPA,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),1.2.1.13,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb,cbb_2,auto,Metabolism,Energy metabolism,Carbon fixation
K05299,fdhA,formate dehydrogenase (NADP+) alpha subunit,1.17.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3,auto,Metabolism,Energy metabolism,Carbon fixation;Methane metabolism
K05308,gnaD,gluconate/galactonate dehydratase,4.2.1.140,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
