ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes
K15634,gpmB,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K15635,apgM,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",5.4.2.12,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K15893,HPR1,glycerate dehydrogenase,1.1.1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K15916,pgi-pmi,glucose/mannose-6-phosphate isomerase,5.3.1.9,5.3.1.8,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K15918,GLYK,D-glycerate 3-kinase,2.7.1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K15919,HPR2_3,glyoxylate/hydroxypyruvate reductase,1.1.1.79,1.1.1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K16157,mmoX,methane monooxygenase component A alpha chain,1.14.13.25,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16158,mmoY,methane monooxygenase component A beta chain,1.14.13.25,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16159,mmoZ,methane monooxygenase component A gamma chain,1.14.13.25,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16160,mmoB,methane monooxygenase regulatory protein B,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16161,mmoC,methane monooxygenase component C,1.14.13.25,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16162,mmoD,methane monooxygenase component D,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K16176,mtmB,methylamine---corrinoid protein Co-methyltransferase,2.1.1.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K16177,mtmC,monomethylamine corrinoid protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K16178,mtbB,dimethylamine---corrinoid protein Co-methyltransferase,2.1.1.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K16179,mtbC,dimethylamine corrinoid protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K16305,K16305,fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase,4.1.2.13 2.,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K16306,K16306,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",4.1.2.13,2.2.1.10,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K16370,pfkB,6-phosphofructokinase 2,2.7.1.11,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K17066,MOX,alcohol oxidase,1.1.3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K17067,mdo,formaldehyde dismutase / methanol dehydrogenase,1.2.98.1,1.1.99.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K17069,MET17,O-acetylhomoserine/O-acetylserine sulfhydrylase,2.5.1.49,2.5.1.47,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K17100,DAS,dihydroxyacetone synthase,2.2.1.3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K17829,ccrA,crotonyl-CoA reductase,1.3.1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K17865,croR,3-hydroxybutyryl-CoA dehydratase,4.2.1.55,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K17989,SDS/SDH/CHA1,L-serine/L-threonine ammonia-lyase,4.3.1.17,4.3.1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18020,cutA,glyceraldehyde dehydrogenase large subunit,1.2.99.8,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K18021,cutB,glyceraldehyde dehydrogenase medium subunit,1.2.99.8,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K18022,cutC,glyceraldehyde dehydrogenase small subunit,1.2.99.8,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K18118,aarC/cat1,succinyl-CoA:acetate CoA-transferase,2.8.3.18,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18119,sucD,succinate-semialdehyde dehydrogenase,1.2.1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18120,4hbD/abfH,4-hydroxybutyrate dehydrogenase,1.1.1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18121,GLYR,glyoxylate/succinic semialdehyde reductase,1.1.1.79,1.1.1.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18122,cat2/abfT,4-hydroxybutyrate CoA-transferase,2.8.3.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18124,gdh2/gdhA,glucose/galactose 1-dehydrogenase (NADP+),1.1.1.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18125,ssgdh,aldose 1-dehydrogenase [NAD(P)+],1.1.1.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K18126,sskdgK,2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase,2.7.1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,other,
K18127,kdgA,2-dehydro-3-deoxy-D-gluconate aldolase,4.1.2.51,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K18128,gadh,D-glyceraldehyde dehydrogenase (NADP+),1.2.1.89,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K18209,tfrA,fumarate reductase (CoM/CoB) subunit A,1.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,other,
K18210,tfrB,fumarate reductase (CoM/CoB) subunit B,1.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,other,
K18472,accD6,acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit,6.4.1.2,6.4.1.3,2.1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K18556,frdA,NADH-dependent fumarate reductase subunit A,1.3.1.6,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_3|rtca_4
K18557,frdB,NADH-dependent fumarate reductase subunit B,1.3.1.6,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_3|rtca_4
K18558,frdC,NADH-dependent fumarate reductase subunit C,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_3|rtca_4
K18559,frdD,NADH-dependent fumarate reductase subunit D,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_3|rtca_4
K18560,frdE,NADH-dependent fumarate reductase subunit E,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_3|rtca_4
K18859,sdhD/frdD,succinate dehydrogenase subunit D,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K18860,sdhD/frdD,succinate dehydrogenase subunit D,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,dchb|other,
K18861,K18861,4-hydroxybutyrate---CoA ligase (AMP-forming),6.2.1.40,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K18978,gapN,glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+],1.2.1.90,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,other,
K19243,azf,NAD+ dependent glucose-6-phosphate dehydrogenase,1.1.1.388,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K19268,glmE/mutE/mamB,methylaspartate mutase epsilon subunit,5.4.99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K19269,PGP/PGLP,phosphoglycolate phosphatase,3.1.3.18,3.1.3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K19280,mct,succinyl-CoA:mesaconate CoA transferase,2.8.3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K19281,mcl,beta-methylmalyl-CoA/(S)-malyl-CoA lyase,4.1.3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K19282,aceB,bifunctional (S)-malyl-CoA lyase/thioesterase,4.1.3.24,3.1.2.30,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K19312,pccB,acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit,6.4.1.2,6.4.1.3,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K20455,acnD,2-methylcitrate dehydratase (2-methyl-trans-aconitate forming),4.2.1.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K21071,pfk/pfp,ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase,2.7.1.11,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K22015,fdhF,formate dehydrogenase (hydrogenase),1.17.98.4,1.17.98.-,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K22305,psp,phosphoserine phosphatase,3.1.3.3,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K22480,hdrA1,heterodisulfide reductase subunit A1,1.8.7.3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K22481,hdrB1,heterodisulfide reductase subunit B1,1.8.7.3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K22482,hdrC1,heterodisulfide reductase subunit C1,1.8.7.3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K22515,fdwB,formate dehydrogenase beta subunit,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K22516,fdhA,formate dehydrogenase (coenzyme F420) alpha subunit,1.17.98.3,1.8.98.6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K22568,pccX,acetyl-CoA/propionyl-CoA carboxylase/PccX subunit,6.4.1.2,6.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K23146,HPD1,3-hydroxyisobutyrate/3-hydroxypropionate dehydrogenase,1.1.1.31,1.1.1.59,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K23304,cysE,serine O-acetyltransferase,2.3.1.30,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K24182,PFK9,6-phosphofructokinase,2.7.1.11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K25007,metV,methylenetetrahydrofolate reductase (NADH) small subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K25008,rnfC2,ion-translocating oxidoreductase complex subunit C,7.-.-.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,
K25026,glk,glucokinase,2.7.1.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K25031,gntK,gluconokinase,2.7.1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K25123,hydA2,iron hydrogenase HydA2,1.12.7.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,
K25124,hycB,FeS-containing electron transfer protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,
K25528,ysaA,phosphoserine phosphatase,3.1.3.3,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K25774,K25774,4-hydroxybutyrate---CoA ligase (AMP-forming),6.2.1.40,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K25801,SDH4,succinate dehydrogenase (ubiquinone) subunit 4,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K27094,accD5,propionyl-CoA/long-chain acyl-CoA carboxylase carboxyl transferase subunit,6.4.1.3,6.4.1.-,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K27095,accE5/accE,acyl-CoA carboxylase epsilon subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K27394,ENO4,enolase 4,4.2.1.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K27802,acnA,aconitate hydratase A / 2-methylisocitrate dehydratase,4.2.1.3,4.2.1.99,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,rtca|other,
K23995,xoxF,lanthanide-dependent methanol dehydrogenase,1.1.2.10,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K13997,PDHX,dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K04041,fbp3,"fructose-1,6-bisphosphatase III",3.1.3.11,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01596,pckA,phosphoenolpyruvate carboxykinase (GTP),4.1.1.32,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K03518,coxS,aerobic carbon-monoxide dehydrogenase small subunit,1.2.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K03519,coxM/cutM,aerobic carbon-monoxide dehydrogenase medium subunit,1.2.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K03520,coxL/cutL,aerobic carbon-monoxide dehydrogenase large subunit,1.2.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K10671,grdE,glycine reductase complex component B subunit alpha and beta,1.21.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,
K10672,grdB,glycine reductase complex component B subunit gamma,1.21.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,
